date,ninsee,no2,o3,pm10
01/03/2018,0,28,26,62
01/03/2018,75,27,24,62
01/03/2018,77,14,28,62
01/03/2018,78,26,25,62
01/03/2018,91,22,27,61
01/03/2018,92,28,23,62
01/03/2018,93,23,26,62
01/03/2018,94,27,25,61
01/03/2018,95,26,27,61
01/03/2018,75101,25,23,62
01/03/2018,75102,25,23,60
01/03/2018,75103,23,23,60
01/03/2018,75104,25,23,62
01/03/2018,75105,24,23,62
01/03/2018,75106,24,23,62
01/03/2018,75107,26,22,62
01/03/2018,75108,25,22,62
01/03/2018,75109,24,22,60
01/03/2018,75110,24,23,60
01/03/2018,75111,22,24,60
01/03/2018,75112,23,25,60
01/03/2018,75113,25,24,62
01/03/2018,75114,24,23,62
01/03/2018,75115,25,23,63
01/03/2018,75116,27,22,63
01/03/2018,75117,26,22,62
01/03/2018,75118,24,23,59
01/03/2018,75119,22,24,59
01/03/2018,75120,22,24,59
01/03/2018,77001,10,28,53
01/03/2018,77002,10,25,54
01/03/2018,77003,10,28,53
01/03/2018,77004,11,25,54
01/03/2018,77005,11,26,60
01/03/2018,77006,10,28,53
01/03/2018,77007,11,25,54
01/03/2018,77008,8,26,57
01/03/2018,77009,11,28,54
01/03/2018,77010,11,25,54
01/03/2018,77011,11,28,54
01/03/2018,77012,10,25,55
01/03/2018,77013,9,25,55
01/03/2018,77014,10,28,54
01/03/2018,77015,10,25,54
01/03/2018,77016,11,28,54
01/03/2018,77018,10,25,57
01/03/2018,77019,10,28,54
01/03/2018,77020,10,25,54
01/03/2018,77021,10,28,54
01/03/2018,77022,10,27,53
01/03/2018,77023,8,26,59
01/03/2018,77024,10,25,57
01/03/2018,77025,10,27,54
01/03/2018,77026,10,25,54
01/03/2018,77027,11,28,54
01/03/2018,77028,9,25,54
01/03/2018,77029,11,25,54
01/03/2018,77030,10,25,55
01/03/2018,77031,11,25,54
01/03/2018,77032,10,25,55
01/03/2018,77033,10,25,54
01/03/2018,77034,11,26,54
01/03/2018,77035,10,28,54
01/03/2018,77036,10,25,54
01/03/2018,77037,10,27,54
01/03/2018,77038,10,26,54
01/03/2018,77039,11,26,54
01/03/2018,77040,11,26,54
01/03/2018,77041,10,28,53
01/03/2018,77042,10,25,55
01/03/2018,77043,10,25,55
